id	comment	internal_comment	country_code	longitude	latitude	name_de	name_fr	synonymous
9966				6.562825	46.525513			Ecublens VD
9967				4.77695	51.58307			Breda, Bréda
9968				7.377482	46.967804			Hinterkappelen
9969				-91.51667	14.833333			Quezaltenango, Quetzaltenango
9970				6.888484	46.834686			Bussy
9971				6.804412	46.66932			Moudon
9972				6.816569	46.728672			Forel Dessus
9973				6.90422	46.75353			Marnand Croisé
9974				6.849508	46.682312			Sarzens
9975				7.03273	46.92033			Broye
9976		cf. dodis.ch/G11.		-105.87009	34.51994	USA/Neumexico	USA/Nouveau-Mexique	USA/New Mexico, USA/Nuovo Messico, Stati Uniti/Nuovo Messico, United States/New Mexico, USA/NM
9977				-104.523611	33.395			Roswell
9978				-106.60999	35.110703			Albuquerque
9979				7.90126	47.27574			Vordemwald
9980				7.59792	47.4222			Himmelried
9981				7.33684	47.23955			Court
9982				5.309444	50.548056			Amay, Ama
9983				-79.819444	36.08			Greensboro
9984	Kuba, Hispaniola (Haiti + Dominikanische Republik), Jamaika, Puerto Rico			-74.019208	19.805103	Grosse Antillen	Grandes Antilles	Grandi Antille, Greater Antilles, Grosse Antillen
9985	Hauptstadt von Jamaika			-76.8007	18.01283			Kingston
9987								Hoboken
9988				43.825827	-21.756634			Bas-Mangoky
9989				46.86667	-16.783333			Marololo
9990				47.866814	-21.380236			Kianjasoa (Madagascar)
9991				49.2833	-12.2667			Antsiranana, Antsiranana (Madagascar), Diégo Suarez, Diégo-Suarez
9992				47.433334	-19.383333			Ambatolampy, Ambatolampy (Madagascar)
9993	cf. dodis.ch/34181	Municipalité.		8.20297	47.43575			Birr
9994	cf. dodis.ch/34181			8.233889	47.443333			Birrfeld
9995				45.412224	39.20889			Naxçivan, Nakhichevan, Nachitschewan, Nakhchivan, Nakhitchevan
9996				29.51077	-6.255568	Tanganjikasee	Lac Tanganyika	Lake Tanganyika, Lago Tanganica, Lago Tanganyika
9997				29.66368	-4.361614			Mugera, Mugera (Burundi)
9998				83.80487	28.019682			Syangja
9999		cf. dodis.ch/G201.		79.73999	15.9129	Indien/Andhra Pradesh	Inde/Andhra Pradesh	Andra Pradesh, India/Andhra Pradesh
10000				85.294391	27.643359			Khokana
10001				91.140854	29.645554			Lhasa
10002	Tempelkomplex in Kathmandu			85.29033	27.71492			Swayambhunath
10003				86.93	26.58			Bhairawa, Bairawa
10004	Hafenstadt in Tanzania			39.10232	-5.088875			Tanga
10005	Tanzania			39.172573	-6.667445			Wazo Hill
10006	Region in Botswana			112.255585	30.311056			Shashi
10007	Stadt in Botswana			27.133333	-22.55			Palapye
10008	Stausee in Argentinien			-68.8	-39.283333			El Chocón, El Chocon
10009	Staudamm und Wasserfall in Gabun			9.47074	0.400505			Kinguélé, Kinguele
10010				9.5	0.283333			Owendo (Gabun), Ovendo
10011				13.199991	1.145035			Belinga
10012				-71.63333	10.65			Maracaibo, Maracaïbo
10013				-66.97722	10.595833			Maiquetía
10014	Gabun			13.952106	1.011126			Mékambo, Mekambo
10015	Gaza			34.53677	31.538483			Beit Hanoun
10016	Hafenstadt in Israel			34.655315	31.80438			Ashdod
10017	Ville en Zambie			28.649815	-12.990641			Ndola
10018	Ville du Zimbabwe			28.626478	-20.132507			Bulawayo
10019	Hauptstadt Curaçao			-68.933333	12.116667			Willemstad, Wilhelmstad
10020				-81.355064	23.060625			Camarioca
10021	NL			6.659864	52.355083			Almelo
10022	Flughafen in Moskau			37.271233	55.599648			Vnukovo, Moskau-Wnukowo, Moscou-Vnoukovo, Moscow-Vnukovo, Moskva-Vnukovo
10023	Flughafen von Leningrad / St. Petersburg			30.262503	59.800292			Pulkovo, Leningrad-Pulkowo, Leningrad-Schosseinaja, Leningrad-Poulkovo, Leningrad-Chausséeinaïa, Leningrad-Pulkovo, Leningrad-Sossejnaja, Shosseynaya
