id	comment	country_code	longitude	latitude	name_de	name_fr	synonymous
96			7.227882	52.333626			Baltische Staaten, Baltikum, Pays baltes, Paesi baltici, Etats baltes, Baltes (Etats)
97			29	46.833333			Bessarabien, Bessarabia, Bessarabie
122			35.24332	38.963745			Türkei, Turchia, Turquie, Türkiye
126			-3.74922	40.46367	Spanien	Espagne	Spagna, España
127			-8.224454	39.39987			Lusitanie, Portogallo, Portugal
128			-8.24389	53.41291	Irland	Irlande	Irlanda, Ireland, Eire
129	Senegal		-17.366028	14.764504			Dakar
131			13.064473	52.390568			Potsdam
133			-95.71289	37.09024			Amerika, America, Amérique
135			9.83089	46.80012			Davos
137			4.35171	50.850338	Brüssel	Bruxelles	Brussels, Bruxelles
138			9.501785	56.26392	Dänemark		Danimarca, Danemark, Danmark
144			21.012228	52.229675	Warschau	Varsovie	Varsavia, Warszawa
145			11.331059	48.20152			Warthegau, Wartegau
146			19.321978	50.57166			Schlesien, Slesia, Silesia, Silésie
169			-75.69719	45.421528			Ottawa
174			6.633597	46.519962			Losanna, Lausanne
175			7.46905	46.90919			Kehrsatz
176			6.9643	47.0323			Chaumont/NE
178			21.824312	39.074207	Griechenland	Grèce	Grecia, Hellas
180			-51.92528	-14.235004	Brasilien	Brésil	Brasile
181			7.4833	46.9333			Muri/Bern, Muri BE
183			-73.55399	45.50867			Montreal, Montréal
188			-82.34519	23.05407			Havanna, Avana, La Habana, La Havane
190			-77.781166	21.521757	Kuba	Cuba	
191							
193			-63.616673	-38.416096	Argentinien	Argentine	Argentina
194			8.468946	60.472023	Norwegen	Norvège	Norvegia, Norge
196			6.129583	49.815273	Luxemburg	Luxembourg	Lussemburgo
201			78.96288	20.593683	Indien	Inde	India, Vorderindien, Indes
202			100.99254	15.870032			Tailandia, Siam, Thailand, Thaïlande
203			133.77513	-25.274399	Australien	Australie	Australia
204			22.937506	-30.559483	Südafrika	Afrique du Sud	Sudafrica, Union sud-africaine, Unione sudafricana, Africa del Sud, Südafrikanische Union, RSA, Suid-Afrika, South Africa
205			-71.54297	-35.675148	Chile	Chili	Cile
